,rooms,bedrooms,population,households,value,inland
154,1433,229,612,213,314700,0
155,2927,402,1021,380,390100,0
156,2315,292,861,258,410300,0
157,2485,313,953,327,352400,0
158,1490,238,634,256,287300,0
159,2814,365,878,352,348700,0
160,2093,550,918,483,243800,0
161,888,168,360,175,211500,0
162,2087,510,1197,488,218400,0
163,2513,502,1048,518,269900,0
164,3232,835,1373,747,218800,1
165,4120,1065,1715,1015,225000,0
166,2364,792,1359,722,250000,0
167,1471,469,1062,413,171400,0
168,2468,864,1335,773,193800,0
169,1632,492,1171,429,125000,0
170,1786,526,1475,460,97500,0
171,629,188,742,196,125000,0
172,1339,391,1086,363,138800,0
173,1678,606,1645,543,116700,0
174,2344,647,1710,644,151800,0
175,996,228,731,228,127000,0
176,1591,373,1118,347,128600,0
177,1586,398,1006,335,140600,0
178,2046,588,1213,554,182700,0
179,1192,289,772,257,146900,0
180,1803,420,1321,401,122800,0
181,2838,749,1487,677,169300,0
182,783,184,488,186,126600,0
183,1590,414,949,392,127900,0
184,1746,480,1149,415,123500,0
185,1252,299,844,280,111900,0
186,5963,1344,4367,1231,112800,0
187,1783,395,1659,412,107900,0
188,999,264,1011,263,137500,0
189,1469,431,1464,389,105500,0
190,1372,395,1237,303,95500,0
191,674,180,647,168,116100,1
192,1626,376,1284,357,112200,1
193,175,43,228,55,75000,1
194,461,129,381,123,112500,0
195,902,237,846,227,125000,1
196,2373,779,1659,676,115000,1
197,391,128,520,138,95000,0
198,1137,301,866,259,96400,0
199,769,206,612,183,72000,0
200,472,146,415,126,71300,1
201,862,215,994,213,80800,0
202,1920,530,1525,477,128800,0
203,1420,472,1506,438,112500,0
204,986,258,1008,255,119400,0
205,2340,825,2813,751,118100,0
206,1696,396,1481,343,122500,0
207,1175,217,859,219,106300,0
208,2343,574,1608,523,132500,0
209,610,145,425,140,122700,0
210,930,199,564,184,113300,0
211,1487,314,961,272,109500,0
212,3424,690,2273,685,164700,0
213,762,190,600,195,125000,0
214,2366,575,1647,527,124700,0
215,1826,450,1201,424,136700,0
216,3049,711,2167,659,141700,0
217,1640,376,939,340,150000,1
218,1543,307,859,292,138800,1
219,2364,557,1517,516,139200,1
220,1745,409,1143,386,143800,1
221,2003,500,1109,464,156500,1
222,2018,447,1221,446,151000,1
223,3045,499,1115,455,273000,0
224,1547,293,706,268,217100,0
225,3519,711,1883,706,187100,0
226,2070,354,804,340,239600,0
227,1321,263,506,252,229700,0
228,1694,259,610,238,257300,0
229,1938,341,768,332,246900,1
230,968,195,462,184,179900,0
231,1060,256,667,235,169600,1
232,2041,405,1059,399,203300,1
233,1813,271,637,277,263400,0
234,2718,451,1106,454,231800,0
235,3144,761,1737,669,140500,0
236,1802,459,1009,390,126000,0
237,882,195,737,210,122000,0
238,1621,452,1354,491,134700,0
239,2115,533,1530,474,139400,0
240,2021,528,1410,480,115400,0
241,2239,508,1390,569,137300,0
242,1477,300,1065,269,137000,0
243,1056,224,792,245,142600,0
244,898,244,779,245,137500,1
245,2968,710,2269,610,111700,1
246,1702,460,1227,407,126800,1
247,881,248,753,241,111300,1
248,494,114,1222.281124,135,114800,1
249,1776,473,1807,440,102300,1
250,1678,514,1700,495,131900,1
251,1637,463,1543,393,119100,1
252,1420,314,1085,300,80600,1
253,591,173,353,137,80600,0
254,745,153,473,149,88800,0
255,2272,498,1621,483,102400,0
256,1234,375,1183,354,98700,1
257,1017,328,836,277,100000,0
258,932,254,900,263,92300,1
259,2689,597,1888,537,94800,1
260,1547,415,1024,341,102000,1
261,2300,443,1225,423,158400,0
262,1752,399,1071,376,121600,0
263,1867,403,1128,378,129100,0
264,2430,502,1537,484,121400,1
265,1729,414,1240,393,102800,0
266,1026,180,469,168,160000,0
267,2170,428,1086,425,143900,0
268,2329,445,1144,417,151200,0
269,2492,415,1109,375,164400,0
270,2198,397,984,369,156500,0
271,142,31,575,47,225000,0
272,1183,205,496,209,174200,0
273,1070,193,555,190,166900,0
274,1766,332,869,327,163500,0
275,617,95,236,106,253000,0
276,1411,233,626,214,240700,0
277,2109,387,922,329,208100,0
278,1229,243,582,256,198100,0
279,954,217,546,201,172800,0
280,1643,262,620,266,336700,0
281,1355,195,442,195,318200,0
282,2317,336,955,328,285800,0
283,2459,317,916,324,293000,0
284,12842,2048,4985,1967,371000,0
285,1524,260,651,267,157300,0
286,3326,746,1704,703,135300,0
287,1985,440,1085,407,136700,0
288,1642,322,713,284,160700,1
289,893,177,468,181,140600,1
290,653,128,296,121,144000,1
291,1256,486.3454179,570,218,161900,1
292,977,194,446,180,156300,1
293,2324,397,968,384,176000,1
294,1583,349,857,316,145800,0
295,1612,342,912,322,141900,1
296,2424,533,1360,452,90700,1
297,1594,367,1074,355,90600,1
298,2118,413,965,382,107900,1
299,1575,358,933,320,107000,1
300,1764,397,987,354,98200,1
301,1187,261,907,246,89500,1
302,754,175,447,165,93800,1
303,2308,452,1299,451,96700,1
304,909,236,396,157,97500,1
305,1180,257,877,268,97300,1
306,2018,408,1111,367,91200,1
307,1368,282,790,269,91400,1
308,2744,547,1479,554,96200,1
309,2107,471,1173,438,120100,1
310,1748,362,1029,366,100000,1
311,2024,391,1030,350,94700,1
312,1116,259,826,279,85700,1
313,2036,510,1412,454,89300,1
314,1852,393,1132,349,101400,1
315,921,207,522,159,72500,1
316,995,238,630,237,74100,1
317,606,132,531,133,70000,1
318,2680,736,1925,667,84600,1
319,1493,370,1144,351,81800,1
320,2207,565,1481,520,81400,1
321,856,189,435,162,81800,1
322,1293,297,984,303,85800,1
323,847,212,567,159,87100,1
324,541,154,380,123,83500,1
325,1066,253,825,244,79700,1
326,707,147,417,155,83400,0
327,1528,291,801,287,84700,0
328,909,215,646,198,80000,0
329,1391,293,855,285,76400,0
330,548,119,435,136,79700,0
331,4074,874,2736,780,82400,0
332,1613,445,1481,414,97700,0
333,463,134,327,137,97200,0
334,818,193,494,179,101600,0
335,1473,371,1231,341,86500,0
336,504,126,323,109,90500,0
337,1026,226,749,225,107600,0
338,769,183,693,178,84200,0
339,2103,391,1339,354,88900,1
340,330,76,282,80,80700,1
341,941,218,621,195,87100,1
342,992,486.3454179,732,259,85100,0
343,990,261,901,260,82000,0
344,1126,263,482,150,82800,0
345,1036,233,652,213,84600,0
346,1047,214,651,166,82100,0
347,1280,307,999,286,89300,0
348,1587,320,907,306,98300,0
349,1257,271,828,230,92300,0
350,1218,248,763,254,88800,1
351,1751,390,935,349,90000,1
352,2299,514,1437,484,95500,1
353,2457,624,1516,482,91700,0
354,998,211,597,185,100400,0
355,1685,343,949,342,94800,0
356,1827,307,881,302,164300,0
357,2781,574,1438,519,155500,0
358,1823,286,763,270,196900,0
359,2229,365,1297,355,279100,0
360,1513,231,545,211,252800,0
361,3266,491,1222,533,275400,0
362,1809,261,808,219,250000,1
363,794,111,329,109,329800,1
364,690,105,299,109,195500,1
365,1334,200,1222.281124,202,255900,1
366,414,54,137,50,311100,0
367,768,93,229,93,330000,0
368,4400,666,1476,648,248900,0
369,954,161,429,154,142900,0
370,1445,256,849,255,126300,0
371,1938,399,946,331,135800,0
372,856,178,571,191,130600,0
373,1790,454,1137,386,107900,0
374,617,131,378,135,111100,0
375,1383,275,853,272,122000,0
376,1325,277,764,282,118000,1
377,1227,294,928,261,95200,1
378,667,140,406,133,94300,1
379,1223,281,824,280,92500,1
380,1379,287,835,259,91800,0
381,1534,300,826,295,109400,0
382,1029,181,567,211,129500,0
383,771,147,355,144,143400,0
384,824,223,533,166,98200,0
385,1097,239,609,215,103100,0
386,1283,238,576,236,276800,0
387,1604,263,594,286,270900,0
388,2248,422,870,377,246200,0
389,2263,522,1027,509,224200,0
390,1571,349,693,326,229100,0
391,1520,402,815,375,211600,0
392,5083,1212,2420,1146,256100,0
393,1077,293,518,276,206300,0
394,1248,283,620,275,221300,0
395,1342,291,551,266,207400,0
396,3061,930,2556,924,350000,0
397,3171,698,1498,696,218200,0
398,1211,261,523,227,216700,1
399,979,175,374,153,270600,1
400,2269,380,1004,371,261400,1
401,1844,332,769,334,261300,1
402,2178,421,940,423,232200,0
403,1650,274,645,256,375400,1
404,1927,279,705,288,357300,1
405,2079,273,684,275,374400,1
406,1803,240,572,236,358800,1
407,2041,270,671,253,417500,0
408,3046,373,975,365,430500,0
409,2318,328,779,312,362900,0
410,2003,250,658,244,397000,0
411,2261,328,819,335,346800,0
412,1225,169,412,168,327100,0
413,2315,408,835,369,290100,0
414,2070,329,722,306,292000,0
415,2616,473,1085,487,270900,0
416,2640,366,973,355,371100,0
417,1978,293,723,272,335600,0
418,2220,335,903,362,371300,0
419,1125,195,356,181,344000,0
420,3078,494,1005,462,342200,0
421,3706,531,1205,504,370900,0
422,3000,457,987,450,350000,0
423,2863,460,1031,448,368600,0
424,2551,417,894,404,391800,0
425,2255,410,823,377,415300,0
426,3360,648,1232,621,284900,0
427,1693,391,669,367,287500,0
428,2252,592,989,550,272900,0
429,2495,486.3454179,1058,464,259600,0
430,1193,200,506,207,254500,0
431,1172,215,489,218,235600,0
432,2159,424,824,388,218400,1
433,2365,490,1034,475,229200,1
434,1895,442,920,425,192100,0
435,1650,395,841,380,179300,1
436,453,146,749,137,187500,1
437,409,97,208,98,138800,1
438,503,118,228,100,150000,1
439,499,127,287,128,140600,0
440,477,119,218,106,120000,0
441,1647,376,854,355,144800,0
442,3123,749,1695,684,144800,0
443,957,188,403,172,245500,0
444,589,132,288,131,200000,0
445,2026,548,963,521,173700,0
446,1829,536,1129,516,185600,0
447,895,198,386,204,182600,0
448,1909,416,811,406,227900,0
449,3022,696,1293,675,220700,0
450,1777,446,805,431,212000,0
451,2803,930,1372,876,271400,0
452,1465,439,862,425,268800,0
453,2619,682,1152,616,277800,0
454,1149,255,483,249,332500,0
455,2363,604,1558,573,338900,0
456,2604,837,1798,769,287500,1
457,685,141,266,123,384600,1
458,1756,465,1222.281124,422,371400,0
459,1204,460,2016,477,350000,1
460,609,236,1349,250,500001,0
461,1087,371,3337,350,175000,0
462,2773,998,1721,949,241700,0
463,3218,1108,1675,1000,216700,0
464,1350,368,707,350,211300,0
465,3084,698,1424,694,210200,0
466,938,195,393,189,196400,0
467,1813,353,828,339,191700,0
468,1233,300,571,292,182300,0
469,2539,755,1382,713,175000,0
470,1267,324,792,321,165900,0
471,1665,404,815,372,156900,0
472,1659,367,788,346,164300,0
473,2225,460,1145,430,150000,0
474,2485,607,1354,563,150500,0
475,2031,450,958,445,169900,0
476,2932,668,1361,608,147400,1
477,2246,472,1005,449,152700,1
478,2052,435,924,414,182700,1
479,1999,417,780,358,179300,0
480,3007,691,1582,636,157700,0
481,2214,550,1213,568,153100,0
482,1088,305,486,267,250000,0
483,834,186,494,175,206300,0
484,1769,372,849,365,218800,0
485,2307,583,1127,548,198200,0
486,5161,1744,3276,1742,253600,0
487,3497,832,1493,794,257400,0
488,3774,744,1461,679,289500,0
489,2888,604,1253,538,241700,0
490,2153,517,1656,459,489600,0
491,1389,191,514,202,446200,0
492,1709,318,719,295,456300,0
493,1587,444,878,449,336800,0
494,1668,225,517,214,500001,0
495,3726,474,1366,496,500001,0
496,4048,663,1316,590,376900,1
497,3618,768,1508,755,309600,1
498,4076,920,1800,815,182300,1
499,2077,400,719,326,172700,1
500,1279,300,675,255,150800,1
501,1974,426,875,363,153600,1
502,335,83,152,77,106300,0
503,1375,307,843,319,142300,0
504,610,145,281,132,119400,0
505,1025,198,506,204,147900,0
506,2063,484,1054,466,132900,0
507,1872,419,1017,414,132500,0
508,3108,813,1623,765,126900,0
509,7355,2408,3100,2051,143800,0
510,2990,379,947,361,500001,0
511,2492,310,808,315,500001,0
512,2991,335,1018,335,500001,0
513,3242,366,1001,352,500001,0
514,3051,381,1005,369,466100,0
515,3494,396,1192,383,500001,0
516,1757,246,585,227,457800,0
517,2449,312,916,316,471600,1
518,1611,203,556,179,500001,1
519,3665,486.3454179,1470,520,398600,1
520,2474,403,1104,398,340700,1
521,3037,516,1242,518,289900,1
522,2269,323,805,321,335300,0
523,1316,177,378,162,333000,0
524,1153,235,481,223,241000,0
525,772,179,409,160,189600,0
526,1711,386,885,373,206300,1
527,2650,566,1468,567,215700,1
528,1038,220,482,215,210200,1
529,1527,320,825,264,208800,0
530,859,157,429,158,197900,0
531,970,217,528,208,201300,0
532,1045,239,496,216,190800,1
533,1408,280,718,265,207900,1
534,1222,264,630,265,215300,0
535,1169,263,723,286,212900,0
536,2020,535,959,486,292700,1
537,4145,869,3668,855,275000,0
538,2038,368,2037,355,200000,1
539,5154,486.3454179,3741,1273,173400,0
540,1241,309,821,300,102200,1
541,1468,363,870,347,220800,0
542,3997,1073,1901,966,242800,1
543,2873,763,1243,663,265400,1
544,1487,306,730,327,219000,1
545,1670,350,793,299,282100,1
546,2252,388,1033,434,372000,1
547,1731,377,872,363,225800,1
548,1710,481,849,457,220800,0
549,2388,559,1121,518,234500,0
550,2156,458,872,445,254200,0
551,1565,315,637,297,351800,0
552,1704,371,663,340,275000,0
553,1210,168,411,172,405400,0
554,2097,444,915,413,228100,0
555,1848,479,921,477,234000,0
556,955,284,585,266,162500,0
557,4329,1110,2086,1053,243400,0
558,3011,542,1303,535,273800,0
559,1049,185,374,176,248500,0
560,2504,516,979,472,244000,0
561,1846,471,827,446,240900,0
562,1705,246,658,253,306300,0
563,1542,289,654,268,240000,1
564,891,300,384,146,247100,1
565,4051,753,1499,797,286600,1
566,2646,581,1128,522,266700,1
567,2428,525,1110,492,229800,0
568,2567,436,1119,415,229300,0
569,7031,1249,2930,1235,228400,0
570,1914,365,897,390,206200,0
571,18634,2885,7427,2718,350700,0
572,5785,1379,2973,1312,231000,0
573,2876,648,1340,632,252900,0
574,6909,1554,2974,1484,353900,0
575,5679,1270,2690,1151,291700,0
576,1156,365,583,326,100000,1
577,14316,2045,5781,2007,341600,1
578,3596,467,1738,512,412500,0
579,3541,570,1478,529,248600,1
580,1808,302,746,270,254900,0
581,2879,480,1235,455,241500,1
582,3204,477,1411,484,295200,0
583,3866,531,1368,521,340400,0
584,2476,368,1048,367,274700,0
585,2211,350,1004,365,238600,0
586,2663,387,1086,367,266400,0
587,2599,366,922,350,330200,0
588,4569,824,1950,819,206800,0
589,2973,622,1413,595,209200,0
590,3115,625,1444,568,195800,0
591,1843,282,749,269,253500,0
592,2053,336,867,329,241800,0
593,6740,1073,2723,1035,252500,0
594,1751,269,731,263,263900,0
595,1663,295,781,301,227000,0
596,3716,657,1784,652,220900,0
597,2718,447,1156,410,259300,0
598,1420,272,645,277,232500,0
599,1893,310,821,315,231600,0
600,3906,790,1912,770,209400,1
601,3400,736,1222.281124,694,223200,1
602,3402,758,1645,710,209900,0
603,4413,1107,2239,1051,208200,1
604,2304,618,1021,552,203800,0
605,2350,499,1105,467,195700,0
606,5914,1309,2999,1295,190500,0
607,1575,324,740,284,181000,0
608,1414,274,629,244,184900,0
609,848,202,314,205,190800,0
610,3051,685,1479,668,242200,0
611,4296,817,1732,800,188300,0
612,2898,557,1338,550,183500,0
613,1071,201,440,192,204200,0
614,2619,403,922,393,251900,0
615,1494,316,611,288,187500,0
616,2260,416,994,412,198200,0
617,1394,223,545,230,219000,0
618,1028,129,317,143,275000,0
619,3758,819,1573,736,245400,0
620,2163,470,925,435,177500,1
621,1699,408,768,385,171600,1
622,1555,289,620,292,183300,1
623,1114,206,425,207,175000,1
624,1498,313,1003,305,156700,0
625,726,147,519,135,157500,0
626,890,200,481,198,179800,0
627,2639,533,1209,519,205500,0
628,2562,554,1398,525,178900,0
629,361,69,158,58,262500,0
630,3008,659,1817,664,165000,0
631,1369,284,766,289,159700,0
632,1692,398,814,328,158300,0
633,1007,245,618,239,144800,0
634,3783,814,2139,789,166300,0
635,1507,242,632,253,191000,0
636,666,132,366,134,175000,0
637,2229,601,877,485,137500,1
638,2215,587,830,573,141700,1
639,1616,372,739,379,210900,0
640,1190,251,540,266,198300,0
641,4169,1047,2024,962,157400,0
642,2024,320,823,334,264700,1
643,1723,394,711,353,218400,0
644,2264,390,931,368,235100,0
645,1996,268,686,270,341800,0
646,2862,394,1030,397,367300,0
647,2183,383,976,392,243500,0
648,1037,207,552,210,167900,0
649,1134,153,340,171,371200,0
650,786,132,288,132,218900,0
651,1397,253,555,248,202700,0
652,2315,451,1006,444,186200,0
653,1613,339,776,346,188900,0
654,1421,298,609,270,180000,0
655,5778,1526,2441,1352,202700,0
656,3094,866,1364,789,181700,0
657,3905,1007,2197,1044,166800,0
658,3046,557,1333,544,183700,1
659,3516,710,1810,703,218000,1
660,998,178,531,183,191500,0
661,1464,244,672,261,194700,0
662,1463,292,695,330,187200,0
663,4124,1054,2162,998,223100,0
664,2380,769,1216,643,271300,0
665,1266,228,606,239,194100,0
666,2239,391,1203,379,190400,0
667,1571,317,874,301,189100,0
668,1246,221,1222.281124,222,184600,0
669,1501,287,703,276,197300,0
670,1468,252,733,229,192600,0
671,1118,219,625,228,192200,0
672,1097,208,568,225,194600,0
673,1719,303,836,311,193500,0
674,1755,365,952,362,202600,1
675,1687,348,568,352,83300,1
676,2262,391,1125,366,212600,0
677,2087,407,840,401,187800,0
678,1480,278,796,283,205700,1
679,1545,273,863,267,192900,0
680,2632,447,1349,486,205200,0
681,2261,443,929,383,213400,1
682,1670,308,957,335,183600,0
683,2141,535,1093,555,178400,0
684,3337,613,1489,607,219200,0
685,3184,716,1561,628,183100,1
686,2341,500,1256,485,157100,1
687,1197,269,695,279,157800,1
688,1131,278,560,237,161700,0
689,1164,284,632,289,152100,0
690,3495,787,1849,750,144900,0
691,2488,617,1287,538,179900,0
692,2681,508,1580,536,179100,0
693,2495,635,1571,579,159900,0
694,1689,461,828,443,161400,0
695,1298,306,835,338,170400,0
696,2693,789,1765,724,137500,0
697,746,486.3454179,387,161,178400,0
698,2444,651,1562,618,155200,0
699,1472,310,768,309,160900,0
700,2227,560,1140,472,167300,0
701,200,25,83,31,340000,0
702,1283,194,485,171,431000,0
703,2445,590,1189,573,301100,0
704,1307,236,586,249,241900,0
705,3785,936,2240,792,162500,0
706,2031,357,867,352,299200,0
707,8299,1326,3827,1288,315500,0
708,7518,1279,3827,1294,216800,1
709,1815,426,1280,431,218100,1
710,5367,1207,2667,1047,170300,1
711,1167,370,253,137,275000,0
712,2607,682,1401,607,184100,0
713,493,168,233,152,160000,0
714,1252,305,673,308,175000,0
715,1382,353,704,314,197500,0
716,500,110,273,120,150000,0
717,2333,538,1120,540,205600,0
718,1834,463,1105,467,170300,0
719,1415,348,569,293,190900,0
720,1352,342,691,324,196900,0
721,2116,503,1109,448,174000,0
722,1976,481,1197,465,170200,0
723,1779,413,1061,400,180900,1
724,3659,897,2479,903,150500,0
725,1892,428,1162,389,167100,0
726,1958,484,1146,448,148900,0
727,1553,253,724,267,196400,0
728,2412,394,975,375,191100,0
729,2110,389,952,370,187500,0
730,2179,401,1159,399,180600,0
731,2457,445,1129,422,182800,0
732,2147,399,1175,401,179300,0
733,1676,340,924,328,179400,0
734,2976,518,1424,538,210300,0
735,3036,533,1366,500,192300,0
736,2472,398,1171,390,198100,1
737,1487,249,641,243,196200,1
738,2012,347,880,332,181600,1
739,3342,540,1635,557,186900,0
740,3156,534,1495,543,188300,0
741,1748,318,914,317,184000,0
742,3429,681,1798,694,184700,0
743,3592,703,1625,665,179900,0
744,1035,247,599,224,167200,0
745,3028,811,2037,703,165400,0
746,2431,655,1854,603,154000,1
747,2069,500,1408,478,153500,1
748,1340,313,766,271,135400,1
749,1160,259,725,274,158300,1
750,2015,318,1019,340,240700,1
751,3882,816,1830,743,180700,0
752,3239,671,1469,616,230600,0
753,2932,739,1198,624,210800,0
754,2104,409,1039,394,165300,0
755,1694,251,690,242,254200,0
756,3000,419,1155,415,332600,0
757,2419,348,1066,384,350000,0
758,2280,610,1255,587,161200,0
759,5031,1168,2461,1042,179300,0
760,1547,372,1063,356,154300,1
761,3300,790,2181,740,161800,1
762,5018,1439,3069,1299,161900,1
763,1813,393,1093,374,165400,1
764,1997,436,1349,437,166600,0
765,901,191,599,206,149700,0
766,686,142,480,149,162100,0
767,1954,464,1293,448,152600,0
768,2630,722,1414,634,195200,0
769,1130,192,543,184,190600,0
770,1184,200,572,194,193800,0
771,656,115,342,112,200600,0
772,2544,643,2332,603,150000,0
773,1305,225,768,234,185300,0
774,1755,316,913,299,172700,0
775,2843,652,1726,643,174100,0
776,2538,494,1185,501,194400,0
777,1784,311,735,278,206700,0
778,1797,327,796,319,204500,0
779,410,76,252,82,175000,0
780,162,27,86,25,137500,0
781,9963,2031,5613,1946,187200,0
782,2361,458,1727,467,173600,0
783,862,167,407,183,163000,0
784,4335,808,2041,734,331600,0
785,1487,280,854,301,197600,0
786,3592,849,1907,746,197900,0
787,432,102,264,77,228100,0
788,1457,242,735,249,189500,0
789,1578,284,836,292,184200,0
790,2172,435,1377,408,180900,0
791,1340,245,789,248,172000,1
792,1116,199,662,226,177900,1
793,1885,307,853,271,173100,1
794,1180,212,664,200,172600,0
795,5267,1253,4065,1113,182100,0
796,1897,440,1109,418,179500,0
797,767,171,548,185,176000,0
798,691,127,431,149,192600,0
799,786,133,463,160,182700,0
800,5861,1516,5436,1463,134900,0
801,2784,723,2028,693,157600,0
802,4524,860,2426,862,190900,0
803,1468,304,1038,282,158200,0
804,1655,450,857,430,350000,0
805,1227,286,848,291,158200,0
806,1160,252,729,220,146100,0
807,952,172,369,159,226700,0
808,2072,352,1001,350,198700,0
809,2964,547,1472,527,221200,0
810,1032,173,453,176,208500,0
811,657,118,328,134,204200,0
812,1540,324,793,302,193200,0
813,1298,236,632,204,209500,1
814,1409,271,1002,281,164900,1
815,1383,486.3454179,808,241,161400,1
816,1151,216,727,215,187000,1
817,899,179,455,185,190400,1
818,1793,364,1534,346,156600,1
819,2485,518,1139,550,157300,0
820,1931,376,1175,337,168100,0
821,2329,465,1401,453,177600,0
822,6711,1374,3388,1289,208900,0
823,1939,356,841,364,169200,0
824,1642,346,705,351,163900,0
825,1619,293,1148,310,164700,0
826,517,108,391,107,156900,0
827,1570,274,992,249,168800,0
828,1213,221,790,243,174100,0
829,1826,309,1016,313,206500,0
830,2261,443,1039,395,203900,0
831,3666,711,2341,703,217000,0
832,1633,345,1382,338,159600,0
833,2155,522,1858,437,159800,0
834,1295,280,1156,300,154300,0
835,1295,295,1097,328,149600,1
836,1518,302,831,268,188600,1
837,3314,638,1873,602,238500,1
838,3009,497,1640,514,235300,0
839,2605,474,1568,433,261400,0
840,5159,832,3174,817,234400,0
841,1726,276,1186,310,231700,0
842,1816,365,1367,355,156300,0
843,2578,551,1680,528,222000,0
844,2576,418,1657,410,254400,0
845,1644,251,1033,267,244300,0
846,1606,240,1117,268,247000,0
847,3349,544,2003,488,236500,0
848,3475,686,2568,653,151400,0
849,1893,338,1461,344,213700,0
